Change_Type,Package_Name,Package_Type,Old_Version,New_Version,Old_Install_Time,New_Install_Time
Added,/usr/lib/x86_64-linux-gnu/perl/5.40.1/CORE/perlsdio.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/linux/uapi/x86/asm/mman.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libcairo-script-interpreter2/changelog.Debian.amd64.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/python3.13/encodings/iso2022_jp.py,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/x86_64-linux-gnu/c++/14/ext/opt_random.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/CPAN/Meta/Converter.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/ImageMagick-7.1.1/modules-Q16/coders/dib.la,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/ImageMagick-7.1.1/modules-Q16/coders/pdf.la,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/aclocal-1.17/extra-recurs.m4,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libpango1.0-dev/copyright,file,,,,2025-10-30T08:55:44Z
Added,/usr/bin/gzexe,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/lintian/overrides/libglib2.0-0t64,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/fur/LC_MESSAGES/shared-mime-info.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libldap2/changelog.Debian.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libxau-dev/copyright,file,,,,2025-10-30T08:55:44Z
Added,/usr/bin/x86_64-linux-gnu-cpp-14,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/sepol/policydb/ebitmap.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/tcltk/tcl8.6/msgs/es_uy.msg,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man1/debconf-communicate.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/perl/5.40.1/lib.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/XtToolkitThreadInitialize.3.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/liblsan.so.0.0.0,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libdav1d-dev/copyright,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/unicode/ucat.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/crypt_checksalt.3.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/hu/LC_MESSAGES/sed.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libnghttp2-14/copyright,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/ImageMagick-7.1.1/modules-Q16/coders/xc.la,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/ro/man1/lzmainfo.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/rw/LC_MESSAGES/wget-gnulib.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/OpenEXR/ImfArray.h,file,,,,2025-10-30T08:55:44Z
